object_count,distribution_type,method_name,collision_count,candidate_pair_count,kernel_time_ms,total_time_ms,speedup_vs_cpu,grid_cell_size,max_objects_in_cell,avg_objects_per_non_empty_cell,dense_cell_count
100000,uniform,cuda_uniform_grid,143249,4437462,1.469408,2.577800,2260.848367,10.00,26,10.000000,0
100000,uniform,cuda_uniform_grid,143249,17512411,1.999360,2.895000,2013.131274,20.00,65,40.000000,0
100000,uniform,cuda_uniform_grid,143249,68142359,4.354656,5.681500,1025.788092,40.00,207,160.000000,622
100000,uniform,cuda_lbvh,143249,183135,3.307520,7.028400,829.209357,0.00,0,0.000000,0
100000,clustered,cpu_brute_force,30886392,4999950000,6153.085700,6153.085700,1.000000,0.00,0,0.000000,0
100000,clustered,cuda_brute_force,30886392,4999950000,338.207581,339.762600,18.109956,0.00,0,0.000000,0
100000,clustered,cuda_uniform_grid,30886392,188645449,9.923712,12.320200,499.430663,5.00,4228,201.207243,332
100000,clustered,cuda_uniform_grid,30886392,608343166,27.724833,29.484400,208.689535,10.00,8234,735.294118,121
100000,clustered,cuda_uniform_grid,30886392,1799925900,74.352386,76.078200,80.878434,20.00,14758,2500.000000,36
100000,clustered,cuda_uniform_grid,30886392,4070055175,171.857025,207.680200,29.627695,40.00,33336,7142.857143,12
100000,clustered,cuda_lbvh,30886392,38274376,203.006973,207.170500,29.700588,0.00,0,0.000000,0
